body_0_angvel_x,body_0_angvel_y,body_0_angvel_z
0.010185,0.024899,-0.022964
0.003905,0.017451,-0.014864
-0.008656,0.002557,0.001337
0.002520,0.014747,0.011854
0.008109,0.020842,0.017112
-0.002020,0.017541,-0.022378
0.000614,0.012035,-0.027824
0.005879,0.001022,-0.038717
0.005460,0.020165,-0.015853
0.005254,0.029735,-0.004421
0.004707,0.041432,0.017207
-0.000640,0.029686,0.002040
-0.011341,0.006192,-0.028290
-0.004307,0.021931,0.002206
-0.000787,0.029801,0.017452
-0.005020,0.026525,0.019244
-0.000865,0.027979,0.011172
0.007438,0.030888,-0.004974
0.006795,0.024963,0.011757
0.006476,0.022000,0.020123
0.007000,0.028614,0.025078
0.009242,0.035807,0.020308
0.013719,0.050196,0.010769
0.007891,0.034000,0.011624
0.004979,0.025902,0.012052
-0.008098,0.053263,0.011396
0.002385,0.058975,0.009845
0.023349,0.070400,0.006729
0.004451,0.063523,0.027598
-0.004990,0.060081,0.038038
0.027021,0.013983,-0.003183
0.018250,0.040857,0.002416
0.000709,0.094602,0.013631
-0.000184,0.082372,0.037741
-0.000618,0.076257,0.049796
0.034591,0.079060,0.014452
0.024274,0.072026,0.018432
0.003650,0.057952,0.026404
-0.007468,0.053308,0.041981
-0.013021,0.050984,0.049773
-0.000191,0.093427,0.067012
0.001272,0.071735,0.062025
0.004217,0.028354,0.052050
0.009818,0.061339,0.032857
0.012607,0.077834,0.023260
0.003380,0.072949,0.045274
0.003496,0.065465,0.035991
0.003721,0.050497,0.017426
0.015143,0.053076,0.007880
0.020851,0.054366,0.003105
0.000351,0.060580,0.068205
-0.001706,0.068194,0.055268
-0.005845,0.083418,0.029398
-0.000334,0.082143,0.030774
0.002423,0.081506,0.031460
0.002291,0.073321,0.037983
0.005508,0.062596,0.029145
0.011938,0.041149,0.011464
0.014688,0.047399,0.030636
0.016068,0.050523,0.040222
0.003712,0.033359,0.024408
0.003739,0.043554,0.030741
0.003792,0.063944,0.043409
0.018377,0.053642,0.044258
0.025673,0.048495,0.044678
0.020604,0.064011,0.003155
0.018129,0.051509,0.009026
0.013189,0.026502,0.020766
0.004973,0.040818,0.018212
0.000863,0.047976,0.016937
0.016994,0.028445,0.043145
0.015194,0.033957,0.035602
0.011584,0.044980,0.020521
0.017256,0.051342,0.003730
0.020088,0.054525,-0.004667
0.016761,0.033109,0.011015
0.014626,0.032835,0.007993
0.010355,0.032289,0.001950
0.008459,0.033113,0.023937
0.007514,0.033523,0.034930
0.011394,0.042211,-0.019643
0.010479,0.045544,-0.004803
0.008662,0.052208,0.024879
0.005995,0.032429,0.005946
0.004659,0.022540,-0.003521
-0.001077,0.040710,0.026840
0.004925,0.041503,0.013574
0.016917,0.043093,-0.012962
0.001856,0.050019,0.010862
-0.005668,0.053481,0.022777
-0.005225,0.023692,0.001034
0.000370,0.033119,0.009912
0.011562,0.051974,0.027666
0.010383,0.041295,0.005597
0.009789,0.035957,-0.005438
0.004577,0.043266,0.002577
0.003291,0.038433,0.002925
0.000720,0.028767,0.003622
0.008777,0.017738,-0.030215
0.012801,0.012224,-0.047135
0.013020,0.003353,0.007525
0.006418,0.007295,0.006019
-0.006788,0.015179,0.003010
0.004926,0.028274,-0.005785
