joint_0_vel,joint_1_vel,joint_2_vel,joint_3_vel,joint_4_vel,joint_5_vel,joint_6_vel,joint_7_vel,joint_8_vel,joint_9_vel,joint_10_vel,joint_11_vel,joint_12_vel,joint_13_vel,joint_14_vel,joint_15_vel,joint_16_vel,joint_17_vel,joint_18_vel,joint_19_vel,joint_20_vel,joint_21_vel,joint_22_vel,joint_23_vel,joint_24_vel,joint_25_vel,joint_26_vel,joint_27_vel,joint_28_vel
0.002763,-0.030814,0.061285,0.039951,-0.029629,0.043532,0.010417,0.004418,-0.028926,0.043132,0.041363,0.207065,0.089346,-0.024973,0.018525,0.000000,-0.024188,0.025864,0.000000,0.166851,-0.092563,-0.037107,-0.029919,0.047914,0.022758,-0.030513,-0.029281,0.021175,-0.002088
0.000969,-0.023259,0.048611,0.028331,-0.020801,0.044360,0.015234,-0.002961,-0.024234,0.044197,0.037915,0.193302,0.076621,-0.027044,0.002604,0.000000,-0.031093,0.027843,0.000000,0.176718,-0.083707,-0.034984,-0.024390,0.029533,0.026231,-0.023193,-0.025875,0.029265,-0.008784
-0.002618,-0.008149,0.023264,0.005093,-0.003144,0.046014,0.024867,-0.017720,-0.014851,0.046329,0.031019,0.165777,0.051171,-0.031187,-0.029237,0.000000,-0.044902,0.031801,0.000000,0.196452,-0.065994,-0.030738,-0.013332,-0.007229,0.033178,-0.008554,-0.019064,0.045446,-0.022176
-0.021398,-0.002569,0.021191,0.017525,-0.002562,0.036258,0.004677,-0.016084,-0.006317,0.010648,0.012410,0.166569,0.052278,-0.006406,-0.003901,0.000000,-0.028145,0.026188,0.000000,0.182829,-0.045930,-0.037926,-0.017946,-0.003026,0.004626,-0.003693,-0.000228,0.025672,0.002868
-0.030788,0.000221,0.020154,0.023741,-0.002271,0.031380,-0.005417,-0.015265,-0.002050,-0.007192,0.003106,0.166965,0.052832,0.005985,0.008768,0.000000,-0.019766,0.023382,0.000000,0.176017,-0.035898,-0.041521,-0.020252,-0.000925,-0.009650,-0.001262,0.009190,0.015785,0.015391
-0.013615,0.003784,0.024087,-0.014648,-0.019040,0.031644,-0.005761,0.002396,-0.032334,-0.004925,-0.007153,0.132110,0.060517,-0.013198,-0.018628,0.000000,-0.036947,0.001420,0.000000,0.146438,-0.046258,-0.019534,-0.002439,-0.010217,-0.001010,0.000240,0.008082,-0.026367,0.027628
0.000521,0.017586,0.024719,-0.006663,0.007160,0.028422,0.004904,0.012971,-0.042898,-0.027491,-0.022148,0.119923,0.062765,0.004455,-0.024191,0.000000,-0.034671,-0.004566,0.000000,0.143493,-0.041126,-0.020621,0.010464,0.003283,-0.003076,-0.004742,0.008949,-0.014188,0.025638
0.028793,0.045190,0.025984,0.009307,0.059559,0.021980,0.026234,0.034120,-0.064027,-0.072625,-0.052139,0.095549,0.067261,0.039760,-0.035316,0.000000,-0.030121,-0.016539,0.000000,0.137604,-0.030861,-0.022795,0.036271,0.030282,-0.007209,-0.014705,0.010684,0.010170,0.021658
-0.001568,0.035155,0.005579,-0.004471,0.031857,0.012212,-0.000491,0.027380,-0.021179,-0.025750,-0.039451,0.114434,0.034688,-0.000509,-0.013151,0.000000,-0.030064,0.001410,0.000000,0.149878,-0.006441,-0.033135,0.021694,0.007267,-0.004034,-0.007413,0.012396,-0.004034,0.036858
-0.016748,0.030137,-0.004624,-0.011360,0.018007,0.007329,-0.013854,0.024009,0.000245,-0.002312,-0.033107,0.123877,0.018401,-0.020644,-0.002069,0.000000,-0.030035,0.010385,0.000000,0.156015,0.005769,-0.038306,0.014405,-0.004240,-0.002446,-0.003766,0.013252,-0.011136,0.044459
0.021703,0.059513,-0.007601,-0.037898,0.014936,0.012525,-0.028143,-0.018713,-0.026051,-0.085693,-0.028293,0.099089,0.047035,0.079675,-0.035981,0.000000,-0.039867,-0.036970,0.000000,0.135723,0.001763,-0.020292,0.032018,0.037398,0.006555,-0.005808,0.017832,0.043427,0.040601
0.013838,0.051784,-0.009146,-0.040966,0.008774,0.014651,-0.022902,-0.015503,-0.030171,-0.081484,-0.034023,0.094452,0.042471,0.069084,-0.024923,0.000000,-0.048066,-0.032365,0.000000,0.131627,-0.004120,-0.021566,0.026020,0.023712,0.009157,0.000267,0.020316,0.029049,0.045835
-0.001890,0.036325,-0.012238,-0.047101,-0.003551,0.018903,-0.012420,-0.009085,-0.038412,-0.073067,-0.045482,0.085178,0.033344,0.047902,-0.002807,0.000000,-0.064464,-0.023154,0.000000,0.123435,-0.015887,-0.024115,0.014023,-0.003660,0.014361,0.012417,0.025283,0.000292,0.056303
0.007349,0.029758,-0.016215,-0.018067,0.016080,0.027913,-0.001731,-0.014004,-0.037336,-0.058125,-0.033872,0.067458,0.056671,0.035870,0.014942,0.000000,-0.070392,-0.011863,0.000000,0.106701,-0.030849,-0.016459,0.006746,0.015716,0.038077,0.006457,0.014928,-0.002005,0.048109
0.011968,0.026474,-0.018203,-0.003549,0.025896,0.032418,0.003614,-0.016463,-0.036798,-0.050654,-0.028067,0.058597,0.068334,0.029853,0.023817,0.000000,-0.073357,-0.006218,0.000000,0.098333,-0.038330,-0.012631,0.003108,0.025404,0.049935,0.003476,0.009751,-0.003154,0.044012
0.032948,0.018185,0.006343,-0.045025,0.028097,0.035553,0.000928,-0.020501,-0.058528,-0.111979,-0.029149,0.034528,0.088421,0.065191,0.000682,0.000000,-0.091580,-0.023468,0.000000,0.057950,-0.065572,-0.034386,-0.037769,0.043033,0.024785,-0.001460,0.002675,-0.002109,0.050455
0.016877,0.009932,0.010517,-0.037110,0.022342,0.021777,0.003567,0.000047,-0.055753,-0.102245,-0.023116,0.039447,0.089060,0.056741,-0.001571,0.000000,-0.069398,-0.018002,0.000000,0.048083,-0.069708,-0.028589,-0.038157,0.023331,0.021715,-0.001769,0.001682,-0.018517,0.041059
