body_0_vel_x,body_0_vel_y,body_0_vel_z
-0.002785,-0.012454,0.011815
0.062524,-0.025846,0.020982
-0.004260,-0.006463,0.019284
-0.037653,0.003229,0.018436
0.054728,-0.029555,0.004320
0.032799,-0.025592,0.014415
-0.011061,-0.017666,0.034604
0.036447,-0.001018,0.002441
0.060201,0.007306,-0.013640
0.011023,-0.052757,0.029322
0.019367,-0.027712,0.021484
0.036054,0.022377,0.005808
0.025751,-0.031855,0.001272
0.020600,-0.058971,-0.000996
0.035755,0.018894,0.032292
0.029618,-0.005039,0.017535
0.017344,-0.052904,-0.011979
0.037852,-0.011956,0.007250
0.048106,0.008518,0.016864
-0.001042,-0.041102,0.017729
0.017928,-0.026634,0.007898
0.055868,0.002301,-0.011766
0.017406,-0.025995,0.019116
-0.001825,-0.040143,0.034558
0.038554,0.014116,-0.014557
0.033499,-0.005406,-0.006855
0.023389,-0.044450,0.008551
0.028273,0.004466,0.016478
0.030715,0.028924,0.020442
0.011198,-0.036996,-0.012344
0.023189,-0.013902,-0.000774
0.047172,0.032286,0.022366
0.009038,-0.007591,-0.011239
-0.010029,-0.027529,-0.028042
0.052156,0.007782,0.036998
0.035391,0.008961,0.016845
0.001862,0.011319,-0.023462
0.026451,-0.023972,-0.004148
0.038745,-0.041618,0.005509
0.009545,0.033428,0.025215
0.014288,0.010729,0.004765
0.023775,-0.034671,-0.036133
0.021863,-0.002639,0.017310
0.020906,0.013377,0.044031
0.021891,-0.014687,-0.048444
0.020118,-0.010965,-0.016978
0.016571,-0.003521,0.045955
0.023546,-0.003285,-0.017542
0.027034,-0.003167,-0.049290
0.013684,-0.002950,0.052124
0.013858,-0.007099,0.019407
0.014205,-0.015396,-0.046028
0.018792,0.006672,0.004202
0.021085,0.017706,0.029317
0.002437,-0.035707,-0.008869
0.009466,-0.010467,-0.008870
0.023523,0.040011,-0.008871
0.014915,-0.013813,0.007512
0.010612,-0.040725,0.015703
0.003798,0.042092,-0.020792
0.011381,0.015402,-0.005629
0.026548,-0.037978,0.024698
0.010423,0.012960,-0.009791
0.002361,0.038428,-0.027035
0.014605,-0.034831,0.024154
0.010607,-0.014145,0.007938
0.002612,0.027227,-0.024494
0.026420,0.002127,0.004654
0.038323,-0.010423,0.019228
-0.027529,-0.008602,0.003203
0.000313,0.000473,-0.004069
0.055997,0.018625,-0.018613
0.000374,-0.008384,0.016543
-0.027438,-0.021889,0.034121
0.035348,0.012504,-0.037023
0.017604,0.008134,-0.010530
-0.017886,-0.000608,0.042458
0.012705,-0.009962,-0.015630
0.028000,-0.014639,-0.044673
-0.002890,0.025129,0.045812
0.001565,0.008065,0.017130
0.010476,-0.026063,-0.040233
0.008589,0.015757,0.006816
0.007645,0.036667,0.030341
0.001870,-0.042994,-0.025190
0.005658,-0.012872,-0.010256
0.013233,0.047373,0.019612
0.002919,-0.012773,-0.004796
-0.002238,-0.042846,-0.017000
0.025866,0.043862,0.017830
0.009030,0.020115,0.004536
-0.024643,-0.027379,-0.022051
0.027363,0.001632,0.002745
0.053366,0.016137,0.015144
-0.047457,-0.006417,-0.009626
-0.014440,-0.002129,-0.003415
0.051596,0.006446,0.009007
-0.006368,0.001106,-0.016788
-0.035350,-0.001563,-0.029685
0.006091,0.003518,0.040780
0.007239,0.002378,0.010869
0.009536,0.000100,-0.048954
-0.009466,0.009571,0.015824
-0.018967,0.014306,0.048214
0.009964,-0.022229,-0.048525
0.001683,-0.003984,-0.023779
-0.014878,0.032507,0.025712
-0.000873,-0.013460,-0.004097
0.006129,-0.036444,-0.019001
-0.016378,0.042573,-0.006444
-0.009710,0.016515,-0.001633
0.003626,-0.035600,0.007991
-0.010748,0.013845,-0.012932
-0.017935,0.038568,-0.023394
0.000578,-0.032951,0.028632
0.000458,-0.011180,0.003996
0.000218,0.032362,-0.045276
-0.018862,0.000429,0.008910
-0.028402,-0.015538,0.036002
0.032720,0.018153,-0.038751
0.004950,0.008464,-0.018275
-0.050589,-0.010913,0.022675
0.007291,0.016801,-0.009522
0.036232,0.030658,-0.025620
-0.041507,-0.024521,0.007144
-0.017427,-0.001874,-0.001070
0.030733,0.043419,-0.017497
-0.015048,0.001732,0.005437
-0.037939,-0.019111,0.016903
0.028518,0.018263,-0.028328
0.010630,0.013281,-0.009224
-0.025147,0.003317,0.028984
-0.002686,0.010764,-0.020359
0.008544,0.014487,-0.045031
-0.028315,0.015109,0.028165
-0.001360,0.006270,0.009795
0.052550,-0.011409,-0.026944
-0.024991,0.023087,-0.001888
-0.063762,0.040335,0.010639
0.050477,-0.026877,-0.031262
0.026131,-0.005507,-0.011959
-0.022561,0.037231,0.026647
-0.010875,0.010288,-0.026339
-0.005032,-0.003183,-0.052832
0.010793,0.006242,0.039872
0.010377,0.009847,0.009627
0.009544,0.017057,-0.050862
-0.019362,0.007257,0.013025
-0.033815,0.002357,0.044968
0.021247,0.009000,-0.050041
0.016653,0.008596,-0.022859
0.007466,0.007787,0.031505
-0.013040,0.007613,0.001002
-0.023293,0.007526,-0.014250
0.032196,0.014298,-0.008363
0.021618,0.005658,0.000101
0.000463,-0.011622,0.017030
-0.011514,0.015035,-0.010096
-0.017502,0.028364,-0.023659
0.039097,-0.019831,-0.006623
0.013098,-0.000766,-0.003471
-0.038899,0.037364,0.002834
0.020866,-0.010941,-0.000034
