joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.897307,-0.029380,-0.070096,0.753812,-0.547532,0.312823,0.192850,-0.320301,0.157411,0.788863,0.242647,0.305045,0.086048,-0.123981,-0.025342,2.251500,-0.976009,-0.107871,0.261800,1.321313,-0.162048,1.633072,1.235237,-0.218831,0.425901,-0.128930,-0.131490,0.159818,-0.143157
-0.897051,-0.028835,-0.069178,0.753817,-0.547113,0.313483,0.192703,-0.320832,0.156870,0.787570,0.242647,0.309385,0.088395,-0.123511,-0.027085,2.251500,-0.976323,-0.107910,0.261800,1.326038,-0.163437,1.632197,1.235598,-0.218904,0.425123,-0.128954,-0.131130,0.159730,-0.142688
-0.896996,-0.029451,-0.067952,0.754616,-0.547706,0.314354,0.192912,-0.320744,0.156291,0.788432,0.243474,0.313526,0.090181,-0.124011,-0.026714,2.251500,-0.976807,-0.107393,0.261800,1.329375,-0.165288,1.631455,1.234999,-0.217946,0.425579,-0.129564,-0.131716,0.160153,-0.142730
-0.896977,-0.029916,-0.066980,0.755182,-0.548122,0.315241,0.193216,-0.320803,0.155807,0.789316,0.244232,0.317392,0.091714,-0.124552,-0.026662,2.251500,-0.977429,-0.106836,0.261800,1.332909,-0.166962,1.630755,1.234512,-0.217356,0.426103,-0.130028,-0.132233,0.160738,-0.142906
-0.897029,-0.030079,-0.066515,0.755284,-0.548185,0.316161,0.193714,-0.321157,0.155510,0.790243,0.244853,0.320708,0.092737,-0.125175,-0.027247,2.251500,-0.978327,-0.106200,0.261800,1.336838,-0.168282,1.630140,1.234245,-0.217500,0.426767,-0.130199,-0.132615,0.161647,-0.143349
-0.897457,-0.030130,-0.066091,0.755635,-0.548236,0.316887,0.193807,-0.321479,0.155383,0.790456,0.245101,0.324039,0.093783,-0.125304,-0.027325,2.251500,-0.978890,-0.105676,0.261800,1.340495,-0.169201,1.629382,1.233886,-0.217561,0.426859,-0.130273,-0.132619,0.162161,-0.143292
-0.898073,-0.030126,-0.065688,0.756110,-0.548281,0.317514,0.193699,-0.321784,0.155342,0.790312,0.245163,0.327378,0.094839,-0.125184,-0.027149,2.251500,-0.979285,-0.105208,0.261800,1.344015,-0.169919,1.628551,1.233481,-0.217579,0.426666,-0.130298,-0.132435,0.162476,-0.142984
-0.898345,-0.030050,-0.065206,0.755817,-0.548662,0.318147,0.193584,-0.321736,0.154696,0.790213,0.245020,0.330021,0.096050,-0.125448,-0.027522,2.251500,-0.980024,-0.105180,0.261800,1.346944,-0.170844,1.628161,1.233432,-0.217783,0.426646,-0.130293,-0.132274,0.161949,-0.142431
-0.898334,-0.029699,-0.064712,0.755683,-0.548519,0.318716,0.193682,-0.321477,0.153838,0.789664,0.244577,0.332419,0.097305,-0.125359,-0.028006,2.251500,-0.980718,-0.105271,0.261800,1.349814,-0.171667,1.627748,1.233642,-0.217718,0.426585,-0.130388,-0.132095,0.161665,-0.141919
-0.897759,-0.028795,-0.064192,0.755870,-0.547328,0.319155,0.194206,-0.320795,0.152557,0.788211,0.243534,0.334330,0.098650,-0.124563,-0.028712,2.251500,-0.981320,-0.105602,0.261800,1.352566,-0.172284,1.627292,1.234367,-0.217112,0.426440,-0.130682,-0.131881,0.161869,-0.141485
-0.897790,-0.028092,-0.064080,0.755780,-0.546691,0.319399,0.194197,-0.320247,0.152134,0.787696,0.242745,0.336619,0.099344,-0.124574,-0.028975,2.251500,-0.981921,-0.105574,0.261800,1.355564,-0.172413,1.626630,1.234801,-0.216967,0.426360,-0.130830,-0.131633,0.161788,-0.140748
-0.898125,-0.027489,-0.064173,0.755553,-0.546330,0.319546,0.193920,-0.319767,0.152139,0.787650,0.242083,0.339096,0.099712,-0.124987,-0.029016,2.251500,-0.982522,-0.105366,0.261800,1.358684,-0.172297,1.625864,1.235089,-0.217052,0.426311,-0.130906,-0.131368,0.161565,-0.139859
-0.897691,-0.026299,-0.064325,0.754795,-0.546032,0.319796,0.193357,-0.320141,0.151618,0.785936,0.241517,0.341078,0.100653,-0.123393,-0.029736,2.251500,-0.983319,-0.106105,0.261800,1.361398,-0.172262,1.625458,1.235729,-0.216304,0.426442,-0.131022,-0.131012,0.162434,-0.139047
-0.897414,-0.025263,-0.064508,0.753976,-0.545856,0.320090,0.192899,-0.320451,0.151014,0.784306,0.240837,0.342967,0.101502,-0.122011,-0.030235,2.251500,-0.984281,-0.106753,0.261800,1.364031,-0.172344,1.625026,1.236250,-0.215829,0.426625,-0.131016,-0.130605,0.163015,-0.138130
-0.897452,-0.024536,-0.064752,0.753034,-0.545927,0.320468,0.192650,-0.320633,0.150246,0.782845,0.239927,0.344671,0.102169,-0.121053,-0.030291,2.251500,-0.985570,-0.107216,0.261800,1.366500,-0.172662,1.624544,1.236530,-0.215903,0.426912,-0.130768,-0.130100,0.163021,-0.137004
-0.897305,-0.023941,-0.065077,0.752672,-0.545606,0.321026,0.192616,-0.320913,0.149499,0.781682,0.239250,0.346020,0.103303,-0.120336,-0.029992,2.251500,-0.986978,-0.107453,0.261800,1.368634,-0.173279,1.624215,1.236665,-0.215588,0.427674,-0.130639,-0.129801,0.162981,-0.136042
-0.897066,-0.023412,-0.065441,0.752601,-0.545088,0.321674,0.192688,-0.321242,0.148763,0.780669,0.238688,0.347192,0.104669,-0.119739,-0.029516,2.251500,-0.988445,-0.107577,0.261800,1.370600,-0.174046,1.623962,1.236727,-0.215080,0.428673,-0.130569,-0.129606,0.162917,-0.135162
-0.896407,-0.023048,-0.065314,0.751701,-0.544526,0.322385,0.192707,-0.321652,0.147593,0.778430,0.238105,0.347882,0.106438,-0.118435,-0.029502,2.251500,-0.990277,-0.108047,0.261800,1.371759,-0.175357,1.623275,1.235972,-0.214220,0.429168,-0.130599,-0.129553,0.162875,-0.134153
-0.896069,-0.022849,-0.065104,0.750959,-0.544079,0.322821,0.192778,-0.321651,0.146478,0.776385,0.237643,0.348671,0.108219,-0.117300,-0.029533,2.251500,-0.991665,-0.108407,0.261800,1.372721,-0.176751,1.622703,1.235209,-0.213753,0.429603,-0.130634,-0.129519,0.162505,-0.133332
-0.896374,-0.022981,-0.064726,0.750533,-0.543862,0.322705,0.192955,-0.320828,0.145473,0.774729,0.237422,0.349657,0.110026,-0.116503,-0.029655,2.251500,-0.992165,-0.108548,0.261800,1.373288,-0.178311,1.622363,1.234430,-0.214074,0.429914,-0.130682,-0.129525,0.161478,-0.132886
-0.895933,-0.022811,-0.065117,0.750357,-0.543698,0.322803,0.192885,-0.320660,0.145508,0.773677,0.238251,0.350683,0.111586,-0.115773,-0.030118,2.251500,-0.992910,-0.108651,0.261800,1.374220,-0.179840,1.622003,1.233700,-0.213999,0.430734,-0.130764,-0.129710,0.160480,-0.132467
-0.895119,-0.022491,-0.065891,0.750307,-0.543559,0.323007,0.192692,-0.320819,0.146062,0.772926,0.239605,0.351730,0.113023,-0.115076,-0.030751,2.251500,-0.993777,-0.108736,0.261800,1.375335,-0.181353,1.621632,1.232995,-0.213725,0.431808,-0.130863,-0.129984,0.159496,-0.132061
-0.894226,-0.022580,-0.066052,0.750586,-0.543661,0.323765,0.193438,-0.320924,0.146316,0.772302,0.240857,0.352435,0.114230,-0.114292,-0.030341,2.251500,-0.995526,-0.108495,0.261800,1.375932,-0.182936,1.621723,1.232427,-0.212389,0.432323,-0.130924,-0.130288,0.159002,-0.132593
-0.893459,-0.022862,-0.066168,0.750570,-0.543856,0.324272,0.193894,-0.321163,0.146619,0.771493,0.242039,0.353123,0.115406,-0.113471,-0.030211,2.251500,-0.996847,-0.108495,0.261800,1.376591,-0.184511,1.621750,1.232048,-0.211570,0.432972,-0.131052,-0.130562,0.158507,-0.132945
-0.892944,-0.023526,-0.066194,0.749965,-0.544238,0.324276,0.193771,-0.321667,0.147022,0.770317,0.243082,0.353778,0.116522,-0.112575,-0.030639,2.251500,-0.997313,-0.108976,0.261800,1.377372,-0.186072,1.621650,1.232046,-0.211786,0.433888,-0.131313,-0.130779,0.158009,-0.132941
-0.892404,-0.024141,-0.065583,0.749186,-0.544334,0.324395,0.193730,-0.322022,0.146831,0.768956,0.243597,0.354110,0.117850,-0.112015,-0.030631,2.251500,-0.997609,-0.109407,0.261800,1.377658,-0.187796,1.621619,1.232153,-0.211755,0.434550,-0.131652,-0.131023,0.156994,-0.133124
-0.891851,-0.024732,-0.064652,0.748319,-0.544286,0.324572,0.193730,-0.322303,0.146343,0.767502,0.243848,0.354282,0.119285,-0.111623,-0.030406,2.251500,-0.997821,-0.109813,0.261800,1.377695,-0.189603,1.621622,1.232316,-0.211599,0.435084,-0.132029,-0.131280,0.155718,-0.133400
-0.891469,-0.025621,-0.064242,0.748275,-0.544257,0.324923,0.193689,-0.322494,0.146630,0.766430,0.244645,0.354751,0.120241,-0.111016,-0.031095,2.251500,-0.998466,-0.109899,0.261800,1.377703,-0.191235,1.621669,1.232063,-0.210796,0.435263,-0.131877,-0.131338,0.155565,-0.133135
-0.891103,-0.026619,-0.063782,0.748288,-0.544475,0.325196,0.193701,-0.322481,0.147059,0.765818,0.245555,0.355232,0.121075,-0.110785,-0.031691,2.251500,-0.999095,-0.109861,0.261800,1.377704,-0.192799,1.621703,1.231701,-0.210055,0.435418,-0.131794,-0.131563,0.155393,-0.133147
-0.890768,-0.027837,-0.063226,0.748414,-0.545189,0.325314,0.193817,-0.322061,0.147775,0.766129,0.246691,0.355736,0.121664,-0.111309,-0.032101,2.251500,-0.999694,-0.109574,0.261800,1.377693,-0.194228,1.621709,1.231119,-0.209437,0.435527,-0.131849,-0.132121,0.155186,-0.133710
