body_0_x,body_0_y,body_0_z
-0.002848,-0.006886,0.675484
-0.002522,-0.006062,0.675695
-0.002266,-0.006985,0.675618
-0.002218,-0.007388,0.675492
-0.002583,-0.006752,0.675270
-0.002240,-0.006893,0.675369
-0.001544,-0.007422,0.675630
-0.002218,-0.007358,0.675423
-0.002312,-0.007341,0.675262
-0.001244,-0.007420,0.675192
-0.001434,-0.007572,0.675364
-0.002253,-0.007761,0.675655
-0.001320,-0.008157,0.675425
-0.000888,-0.008287,0.675311
-0.001459,-0.007882,0.675433
-0.001277,-0.008283,0.675537
-0.000719,-0.009089,0.675632
-0.001072,-0.008264,0.675623
-0.001157,-0.008002,0.675625
-0.000708,-0.008869,0.675651
-0.000753,-0.008551,0.675704
-0.001044,-0.007641,0.675770
-0.000416,-0.008311,0.675625
-0.000189,-0.008572,0.675563
-0.000763,-0.008016,0.675669
-0.000366,-0.007821,0.675648
0.000515,-0.007807,0.675564
-0.000084,-0.008281,0.675450
-0.000297,-0.008346,0.675415
0.000262,-0.007594,0.675539
0.000233,-0.007950,0.675429
-0.000089,-0.008860,0.675203
0.000273,-0.007717,0.675341
0.000441,-0.007285,0.675371
0.000224,-0.008275,0.675185
0.000249,-0.007821,0.675122
0.000396,-0.006644,0.675121
0.000584,-0.007712,0.675084
0.000615,-0.008104,0.675027
0.000334,-0.007140,0.674931
0.000538,-0.007363,0.674963
0.000983,-0.008178,0.675060
0.000617,-0.007281,0.674798
0.000526,-0.006940,0.674747
0.000986,-0.007710,0.675119
0.000789,-0.007537,0.674823
0.000263,-0.006894,0.674192
0.000648,-0.006774,0.674920
0.000903,-0.006781,0.675164
0.000899,-0.007042,0.674438
0.000692,-0.006639,0.674500
0.000385,-0.005903,0.674957
0.000902,-0.006432,0.674638
0.001016,-0.006515,0.674523
0.000322,-0.005703,0.674812
0.000507,-0.005834,0.674981
0.001133,-0.006437,0.675091
0.000890,-0.005631,0.674836
0.000782,-0.005245,0.674804
0.000946,-0.005701,0.675221
0.000566,-0.005527,0.675110
-0.000085,-0.005037,0.674734
0.000691,-0.005148,0.675077
0.000977,-0.005209,0.675351
0.000282,-0.005171,0.675485
0.000321,-0.005181,0.675275
0.000727,-0.005217,0.674894
0.000827,-0.005275,0.675672
0.000717,-0.005341,0.676065
0.000187,-0.005423,0.675688
0.000558,-0.005527,0.675857
0.001379,-0.005643,0.676299
0.000671,-0.005759,0.676443
0.000615,-0.006008,0.676680
0.001865,-0.006525,0.677099
0.001780,-0.006654,0.677485
0.001027,-0.006589,0.677854
0.002122,-0.007180,0.677940
0.002778,-0.007692,0.678229
0.002556,-0.008045,0.678921
0.003285,-0.008066,0.678969
0.004489,-0.007920,0.678697
0.004710,-0.008975,0.679283
0.005097,-0.009529,0.679713
0.005818,-0.009081,0.679829
0.006333,-0.009719,0.679854
0.006745,-0.010898,0.679834
0.007460,-0.010520,0.680480
0.008053,-0.010621,0.680831
0.008400,-0.011679,0.680591
0.009157,-0.011918,0.680736
0.010119,-0.011748,0.681074
0.010098,-0.012570,0.681428
0.010457,-0.013102,0.681586
0.011574,-0.013056,0.681351
0.011922,-0.013576,0.681733
0.011886,-0.014379,0.682424
0.012657,-0.014097,0.682133
0.013327,-0.014205,0.681996
0.013794,-0.015094,0.682167
0.014360,-0.015005,0.682497
0.014974,-0.014426,0.682906
0.015198,-0.015166,0.682659
0.015662,-0.015444,0.682643
0.016605,-0.014798,0.683091
0.016786,-0.014950,0.682866
0.016585,-0.015501,0.682305
0.017629,-0.015345,0.683045
0.018336,-0.015166,0.683382
0.018374,-0.014940,0.682913
0.018903,-0.015419,0.682830
0.019678,-0.016251,0.682940
0.019868,-0.015583,0.683444
0.020154,-0.015368,0.683539
0.020630,-0.016062,0.682817
0.021067,-0.016114,0.683163
0.021485,-0.015847,0.684044
0.021923,-0.016141,0.683075
0.022325,-0.016360,0.682735
0.022657,-0.016430,0.683654
0.023128,-0.016496,0.683303
0.023668,-0.016559,0.682318
0.023942,-0.016618,0.683360
0.024219,-0.016760,0.683748
0.024503,-0.017068,0.682828
0.024879,-0.016935,0.682912
0.025301,-0.016581,0.683498
0.025350,-0.017295,0.683321
0.025539,-0.017504,0.683143
0.026009,-0.016704,0.682966
0.026308,-0.016980,0.683116
0.026520,-0.017795,0.683430
0.026596,-0.016953,0.683014
0.026823,-0.016645,0.682902
0.027354,-0.017404,0.683396
0.027563,-0.017145,0.683200
0.027610,-0.016377,0.682659
0.027902,-0.017073,0.683142
0.028114,-0.017356,0.683301
0.028167,-0.016812,0.682811
0.028695,-0.016769,0.682904
0.029461,-0.016978,0.683289
0.028911,-0.017150,0.683353
0.028917,-0.017140,0.683271
0.030037,-0.016768,0.682899
0.030045,-0.016935,0.683230
0.029496,-0.017373,0.683912
0.030203,-0.017123,0.683172
0.030555,-0.016960,0.682961
0.030197,-0.016972,0.683810
0.030451,-0.017172,0.683498
0.031011,-0.017464,0.682604
0.030953,-0.016962,0.683521
0.030985,-0.016801,0.683863
0.031194,-0.017322,0.683059
0.031366,-0.017007,0.683195
0.031519,-0.016273,0.683802
0.031556,-0.017133,0.683298
0.031669,-0.017391,0.683093
0.031934,-0.016443,0.683485
0.031993,-0.016699,0.683389
0.031948,-0.017556,0.683049
0.032465,-0.016678,0.683406
0.032646,-0.016276,0.683497
0.032153,-0.016824,0.683055
0.032700,-0.016791,0.683110
0.033767,-0.016468,0.683413
0.032818,-0.016597,0.683221
0.032530,-0.016639,0.683152
0.033561,-0.016510,0.683333
0.033434,-0.016488,0.682997
0.032727,-0.016519,0.682403
0.032849,-0.016449,0.683219
0.032994,-0.016402,0.683436
0.033184,-0.016400,0.682457
0.032995,-0.016208,0.682774
0.032616,-0.015922,0.683738
0.032815,-0.016367,0.682767
0.032849,-0.016446,0.682292
0.032551,-0.015796,0.682806
0.032534,-0.016065,0.682724
0.032656,-0.016794,0.682344
0.032329,-0.015943,0.682215
0.032134,-0.015612,0.682182
0.032207,-0.016324,0.682342
0.031992,-0.016048,0.682084
0.031633,-0.015276,0.681616
0.031645,-0.015935,0.682188
0.031654,-0.016159,0.682268
0.031658,-0.015512,0.681363
0.031281,-0.015503,0.681541
0.030713,-0.015814,0.682261
0.031368,-0.015451,0.681486
0.031467,-0.015281,0.681121
0.030455,-0.015500,0.681574
0.030601,-0.015164,0.681384
0.031325,-0.014550,0.680871
0.030495,-0.015041,0.681014
0.030147,-0.015078,0.680993
0.030761,-0.014210,0.680643
0.030460,-0.014175,0.680751
0.029701,-0.014558,0.681090
0.030272,-0.014192,0.680523
0.030484,-0.013927,0.680338
0.029981,-0.013860,0.680918
0.029928,-0.013645,0.680511
0.030099,-0.013355,0.679610
0.029532,-0.013053,0.680174
0.029505,-0.012928,0.680370
0.030556,-0.013156,0.679831
0.030056,-0.012694,0.679793
0.028781,-0.011888,0.680006
0.029791,-0.012425,0.679380
0.030313,-0.012535,0.679141
0.029862,-0.011791,0.679674
0.029645,-0.011585,0.679147
0.029544,-0.011648,0.678091
0.029760,-0.011524,0.678888
0.029967,-0.011327,0.679081
0.030158,-0.010986,0.678064
0.029771,-0.010840,0.678324
0.029095,-0.010793,0.679223
0.029520,-0.010613,0.678223
0.029853,-0.010441,0.677765
0.030002,-0.010286,0.678396
0.029741,-0.010133,0.678416
0.029275,-0.009983,0.678131
0.029919,-0.009697,0.677963
0.030352,-0.009584,0.677965
0.030361,-0.009816,0.678306
0.030131,-0.009515,0.678104
0.029780,-0.008948,0.677631
0.030562,-0.009345,0.677498
0.030824,-0.009360,0.677429
0.030046,-0.008613,0.677486
0.030464,-0.008832,0.677485
0.031479,-0.009534,0.677456
0.030695,-0.008819,0.676618
0.030318,-0.008344,0.676435
0.030752,-0.008351,0.677563
0.030870,-0.008580,0.676811
0.030829,-0.008920,0.675119
0.031119,-0.008550,0.676333
0.031245,-0.008271,0.676650
0.031046,-0.008171,0.675173
0.030991,-0.008039,0.675460
0.031007,-0.007891,0.676630
0.030966,-0.007744,0.675365
0.030935,-0.007640,0.674923
0.030926,-0.007624,0.676131
0.030987,-0.007571,0.675677
0.031082,-0.007499,0.674393
0.031077,-0.007585,0.675566
0.031113,-0.007599,0.675943
0.031230,-0.007468,0.674725
0.031267,-0.007455,0.675048
0.031263,-0.007501,0.676141
0.031501,-0.007459,0.675127
0.031653,-0.007514,0.674833
0.031631,-0.007762,0.675980
0.031903,-0.007638,0.675630
0.032323,-0.007328,0.674531
0.031869,-0.007949,0.675525
0.031739,-0.008223,0.676011
0.032257,-0.007805,0.675481
0.032171,-0.007630,0.675468
0.031784,-0.007578,0.675714
0.032385,-0.008172,0.675760
0.032672,-0.008294,0.675879
0.032330,-0.007471,0.676139
0.032623,-0.007691,0.675992
0.033234,-0.008432,0.675640
